movie_id,avg_ratings,count
50,4.3584905660377355,583
258,3.8035363457760316,509
100,4.155511811023622,508
181,4.007889546351085,507
294,3.156701030927835,485
286,3.656964656964657,481
288,3.4414225941422596,478
1,3.8783185840707963,452
300,3.6310904872389793,431
121,3.438228438228438,429
174,4.252380952380952,420
127,4.283292978208232,413
56,4.060913705583756,394
7,3.798469387755102,392
98,4.28974358974359,390
237,3.7109375,384
117,3.693121693121693,378
172,4.204359673024523,367
222,3.66027397260274,365
313,4.2457142857142856,350
204,3.834285714285714,350
405,3.313953488372093,344
79,4.044642857142857,336
210,3.930513595166163,331
151,3.6319018404907975,326
173,4.172839506172839,324
69,3.853582554517134,321
748,3.1234177215189876,316
168,4.0664556962025316,316
269,3.926984126984127,315
257,3.745874587458746,303
195,3.9335548172757475,301
423,3.8333333333333335,300
9,3.8963210702341136,299
276,3.697986577181208,298
318,4.466442953020135,298
22,4.151515151515151,297
302,4.161616161616162,297
328,3.4237288135593222,295
96,4.0067796610169495,295
25,3.4436860068259385,293
118,3.2150170648464163,293
15,3.7781569965870307,293
183,4.034364261168385,291
216,3.910344827586207,290
176,3.9471830985915495,284
64,4.445229681978798,283
202,3.7642857142857142,280
234,3.775,280
191,4.163043478260869,276
28,3.931159420289855,276
89,4.138181818181818,275
111,3.485294117647059,272
275,4.0111940298507465,268
12,4.385767790262173,267
742,3.644194756554307,267
357,4.291666666666667,264
82,3.7203065134099615,261
135,3.969111969111969,259
289,2.9806949806949805,259
238,3.875,256
97,3.79296875,256
268,3.792156862745098,255
546,3.031496062992126,254
70,3.6613545816733066,251
333,3.593625498007968,251
186,3.8366533864541834,251
196,3.9163346613545817,251
475,3.884,250
153,3.785425101214575,247
132,4.0772357723577235,246
228,3.8155737704918034,244
125,3.557377049180328,244
144,3.8724279835390947,243
483,4.45679012345679,243
194,4.058091286307054,241
323,2.933333333333333,240
245,3.1083333333333334,240
197,4.104602510460251,239
185,4.100418410041841,239
11,3.847457627118644,236
282,3.685344827586207,232
496,4.121212121212121,231
568,3.6478260869565218,230
301,3.3043478260869565,230
265,3.8634361233480177,227
655,3.881057268722467,227
182,3.9513274336283186,226
273,3.569506726457399,223
143,3.765765765765766,222
180,4.04524886877828,221
179,3.909502262443439,221
471,3.6108597285067874,221
161,3.481818181818182,220
71,3.7818181818181817,220
95,3.8127853881278537,219
8,3.9954337899543377,219
427,4.292237442922374,219
678,2.808219178082192,219
322,3.0871559633027523,218
235,2.847926267281106,217
435,3.949074074074074,216
508,3.5953488372093023,215
88,3.539906103286385,213
215,3.69811320754717,212
271,3.2322274881516586,211
187,4.186602870813397,209
603,4.3875598086124405,209
4,3.550239234449761,209
175,3.8173076923076925,208
385,3.5625,208
597,3.150485436893204,206
211,3.912621359223301,206
200,3.825242718446602,206
588,3.792079207920792,202
403,3.427860696517413,201
515,4.203980099502488,201
208,3.945,200
230,3.4472361809045227,199
272,4.262626262626263,198
134,4.292929292929293,198
250,3.4771573604060912,197
527,4.02051282051282,195
298,3.768041237113402,194
474,4.252577319587629,194
284,3.160621761658031,193
393,3.4114583333333335,192
209,3.905759162303665,191
274,3.5,190
340,3.5873015873015874,189
307,3.515957446808511,188
124,4.053475935828877,187
147,3.4702702702702704,185
13,3.4184782608695654,184
14,3.9672131147540983,183
23,4.1208791208791204,182
203,3.868131868131868,182
514,3.911111111111111,180
751,3.4277777777777776,180
732,3.65,180
480,4.284916201117318,179
479,4.251396648044692,179
566,3.569832402234637,179
591,3.601123595505618,178
419,3.7247191011235956,178
283,3.7175141242937855,177
83,4.0625,176
845,3.465909090909091,176
58,3.645714285714286,175
327,3.3771428571428572,175
326,3.36,175
432,3.7701149425287355,174
154,3.7471264367816093,174
24,3.4482758620689653,174
511,4.23121387283237,173
255,3.36046511627907,172
99,3.7093023255813953,172
651,4.076023391812866,171
137,3.9005847953216373,171
229,3.111111111111111,171
433,3.690058479532164,171
218,3.456140350877193,171
133,3.871345029239766,171
367,3.458823529411765,170
451,3.347058823529412,170
402,3.4647058823529413,170
188,3.6823529411764704,170
684,3.7928994082840237,169
628,3.514792899408284,169
321,3.1301775147928996,169
319,3.2738095238095237,168
582,3.6011904761904763,168
226,3.355421686746988,166
199,4.175757575757576,165
692,3.6280487804878048,164
739,3.323170731707317,164
523,3.9939024390243905,164
411,2.914110429447853,163
410,3.1296296296296298,162
443,3.808641975308642,162
259,2.685185185185185,162
66,3.549382716049383,162
285,4.265432098765432,162
227,3.279503105590062,161
248,3.675,160
315,4.1,160
476,3.01875,160
252,2.9430379746835444,158
472,3.0822784810126582,158
193,3.917197452229299,157
685,3.356687898089172,157
150,3.828025477707006,157
240,2.7884615384615383,156
690,3.458064516129032,155
31,3.6298701298701297,154
431,3.5359477124183005,153
660,3.764705882352941,153
498,4.184210526315789,152
77,3.2781456953642385,151
550,3.2847682119205297,151
